Jiji.ng,SHOPPING,4.4,25714,12M,"1,000,000+",Free,0,Everyone,Shopping,"July 24, 2018",3.8.2.2,4.0.3 and up
Akinator,FAMILY,4.3,1805398,55M,"50,000,000+",Free,0,Teen,Entertainment,"June 11, 2018",6.5.2,4.4 and up
¡Ay Caramba!,FAMILY,NaN,0,549k,1+,Paid,$1.99,Everyone,Education,"June 13, 2014",1.2,3.0 and up
Ay Telekom Oim,LIFESTYLE,NaN,6,13M,100+,Free,0,Everyone,Lifestyle,"February 17, 2018",1.0.2,4.1 and up
¡Ay Metro!,GAME,3.8,489,36M,"10,000+",Free,0,Everyone 10+,Arcade,"March 17, 2015",1.0.3.1,4.0 and up
AY Oakmont,HEALTH_AND_FITNESS,NaN,0,11M,10+,Free,0,Everyone,Health & Fitness,"July 9, 2018",4.2.2,4.1 and up
YAKALA AY,GAME,NaN,0,14M,1+,Paid,$0.99,Everyone,Arcade,"July 7, 2018",1.0,4.1 and up
Banana Kong,GAME,4.4,3452530,68M,"100,000,000+",Free,0,Everyone,Action,"February 7, 2018",1.9.6.6,4.0.3 and up
